type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,157255.3,316.0,0.0,0.0,157255.3,0
1,94323.49,29859.0,0.0,50954.25,145277.75,0
1,230444.14,0.0,0.0,2798405.47,3028849.61,0
1,89842.08,0.0,0.0,19536497.19,19626339.28,0
1,158535.82,27259.0,0.0,0.0,158535.82,0
1,88524.89,47.0,0.0,3421417.61,3509942.49,0
1,132836.34,283197.0,150360.66,1591825.54,1724661.89,0
1,328352.65,0.0,0.0,10955714.16,11284066.81,0
1,40490.59,0.0,0.0,8802335.54,8842826.14,0
1,298637.78,20680.0,0.0,334136.45,632774.24,0
1,119238.12,0.0,0.0,333286.01,452524.13,0
1,23546.58,24623.0,1076.42,0.0,23546.58,0
0,78211.23,323237.82,245026.58,127534.48,181508.13,0
1,124260.12,0.0,0.0,260567.14,893541.05,0
1,38049.04,0.0,0.0,459829.2,497878.24,0
1,10414.54,159147.25,148732.71,526869.28,537283.82,0
1,205759.32,36079.0,0.0,837916.99,1172349.14,0
1,361563.94,18180.0,0.0,0.0,361563.94,0
0,638434.91,0.0,0.0,1487081.33,2207844.04,0
1,144670.94,0.0,0.0,229273.97,373944.91,0
1,122499.3,0.0,0.0,197657.19,320156.49,0
0,593408.34,20617.0,0.0,509083.84,1102492.18,0
1,71953.66,156236.0,84282.34,84734.12,156687.78,0
1,23735.72,20593.0,0.0,103967.86,127703.58,0
1,275148.23,6021.0,0.0,203638.79,478787.02,0
1,56822.35,105262.0,48439.65,0.0,56822.35,0
1,338729.13,0.0,0.0,803201.49,1141930.63,0
1,159466.01,61931.85,0.0,2162400.18,2321866.19,0
1,471282.07,2382.0,0.0,92149.14,563431.2,0
1,6775.79,102390.0,95614.21,3191874.17,3198649.96,0
1,347941.68,180.0,0.0,433842.4,781784.09,0
1,25326.6,0.0,0.0,31931.21,57257.81,0
1,87152.9,0.0,0.0,371934.9,459087.79,0
1,174.33,0.0,0.0,1510414.48,1510588.81,0
1,61351.52,0.0,0.0,342840.92,404192.44,0
1,33907.35,22086.0,0.0,22242.46,56149.82,0
1,79828.49,92051.0,12222.51,0.0,79828.49,0
1,109577.19,142635.0,33057.81,0.0,109577.19,0
0,69945.38,92025.0,22079.62,119884.59,189829.97,0
1,214593.34,0.0,0.0,303992.88,518586.22,0
0,177562.6,0.0,0.0,879092.56,3676417.54,0
0,10000000.0,11188.0,0.0,0.0,16339020.48,0
0,85242.11,0.0,0.0,347850.43,433092.54,0
1,112651.2,0.0,0.0,285334.03,397985.23,0
1,389333.38,0.0,0.0,17275712.15,17665045.53,0
1,159806.74,191257.0,31450.26,36471.0,0.0,0
0,3433.5,0.0,0.0,304344.15,307777.66,0
1,38240.41,217601.01,179360.61,50503.21,88743.62,0
1,325586.28,0.0,0.0,2537024.56,2862610.84,0
1,573697.22,21653.0,0.0,0.0,573697.22,0
1,87921.87,32.0,0.0,349.0,160959.26,0
1,134668.23,0.0,0.0,2815208.46,2949876.69,0
1,90771.4,0.0,0.0,1539986.67,1435950.86,0
1,392221.78,0.0,0.0,406479.14,798700.92,0
0,859.99,31371.0,30511.01,383310.1,384170.09,0
0,215891.83,0.0,0.0,784743.06,1071187.12,0
1,116188.89,0.0,0.0,931399.09,1047587.98,0
1,251472.78,49694.0,0.0,0.0,251472.78,0
1,206249.61,0.0,0.0,3677868.85,3884118.46,0
1,80931.79,133.0,0.0,995533.05,1076464.84,0
1,227090.6,0.0,0.0,444174.04,671264.64,0
0,593955.28,124620.0,0.0,30672.21,624627.49,0
1,221633.74,0.0,0.0,846144.14,1067777.88,0
1,258294.88,0.0,0.0,971724.37,1230019.25,0
0,2450590.46,0.0,0.0,7557492.92,10008083.37,0
1,188892.15,0.0,0.0,191453.68,380345.83,0
1,333399.13,0.0,0.0,679823.97,1013223.1,0
1,178037.9,113774.0,0.0,151864.65,329902.55,0
0,889751.32,0.0,0.0,9602017.61,10491768.93,0
1,74806.38,26005.0,0.0,0.0,82234.19,0
1,262443.4,0.0,0.0,3786070.37,4048513.77,0
1,199974.91,198731.0,0.0,0.0,199974.91,0
1,188344.36,21206.0,0.0,317488.48,505832.83,0
1,92139.14,205306.0,113166.86,4621518.2,4713657.35,0
1,270568.15,123747.0,0.0,413362.17,683930.32,0
1,89574.86,269898.0,180323.14,4134912.89,4317189.98,0
1,55684.72,80.0,0.0,528478.45,584163.16,0
1,57857.77,1546.0,0.0,47412.05,105269.81,0
0,490456.24,0.0,0.0,2355439.77,2845896.0,0
0,1552400.99,0.0,0.0,5062290.46,6614691.45,0
1,27679.72,2430.0,0.0,49463.43,77143.14,0
0,305472.42,107073.0,0.0,0.0,305472.42,0
1,354041.22,10900.0,0.0,0.0,354041.22,0
1,74952.34,759.0,0.0,3301423.12,3376375.46,0
1,23950.45,246.0,0.0,1198336.31,1222286.76,0
1,96136.89,0.0,0.0,346897.68,443034.57,0
1,460733.43,1105.0,0.0,1021163.83,1481897.26,0
1,11608.15,82967.0,71358.85,0.0,11608.15,0
1,104042.28,23495.0,0.0,292324.54,396366.82,0
0,420905.52,0.0,0.0,422325.02,843230.54,0
0,626615.3,0.0,0.0,7214699.96,8232768.02,0
1,268331.4,0.0,0.0,450727.12,1211869.59,0
1,99332.99,156559.0,57226.01,406780.94,506113.94,0
1,75203.84,0.0,0.0,480817.4,556021.24,0
1,225330.68,0.0,0.0,531352.56,756683.24,0
1,36663.33,0.0,0.0,117323.46,153986.79,0
1,217367.0,0.0,0.0,259806.5,477173.51,0
1,342398.38,68.0,0.0,41701.0,384099.38,0
1,183670.17,50839.0,0.0,16537.17,200207.33,0
1,39698.83,0.0,0.0,1005238.95,1044937.78,0
1,171240.22,0.0,0.0,1478760.33,1650000.55,0
1,85442.23,54994.0,0.0,1662243.82,1747686.06,0
1,58944.96,203180.0,144235.04,343997.85,402942.81,0
0,185166.24,16203.0,0.0,0.0,185166.24,0
1,87089.94,309.0,0.0,38188.17,125278.1,0
1,157827.05,30260.0,0.0,0.0,157827.05,0
1,23384.43,218724.0,195339.57,43451.14,66835.57,0
1,90000.72,759.0,0.0,383064.22,473064.95,0
0,427738.02,0.0,0.0,3393140.31,3820878.33,0
1,189429.77,0.0,0.0,6165817.76,6355247.54,0
1,472712.67,279221.63,0.0,621012.62,1093725.29,0
0,1000210.97,0.0,0.0,3412775.3,4412986.27,0
1,96841.07,0.0,0.0,813824.24,910665.31,0
1,231699.74,48806.0,0.0,888456.28,1120156.02,0
0,2638672.5,51896.0,0.0,0.0,2638672.5,0
1,191909.04,0.0,0.0,7505553.72,7697462.77,0
0,353416.19,0.0,0.0,651476.03,1004892.22,0
1,134150.1,5109.0,0.0,0.0,134150.1,0
1,133890.45,0.0,0.0,352122.01,486012.46,0
1,110504.46,6959.97,0.0,12479373.6,12589878.06,0
1,183563.5,0.0,0.0,197106.46,380669.97,0
1,153460.38,0.0,0.0,551095.22,704555.59,0
1,246530.36,0.0,0.0,952557.98,1199088.35,0
1,55104.43,0.0,0.0,939221.18,994325.61,0
1,538524.99,0.0,0.0,661461.94,1199986.93,0
0,47601.52,0.0,0.0,505166.81,552768.33,0
1,234122.95,6810.0,0.0,10461824.2,10695947.15,0
1,131830.23,150615.0,18784.77,1386212.85,1518043.09,0
1,43837.39,197174.5,153337.12,1334571.79,1378409.17,0
1,167034.03,0.0,0.0,1242524.45,1409558.48,0
1,140535.86,505.0,0.0,271383.98,411919.85,0
1,30993.24,0.0,0.0,87616.66,118609.91,0
1,266585.52,0.0,0.0,770767.91,1037353.43,0
1,353330.24,126547.0,0.0,0.0,353330.24,0
0,408063.78,15975.0,0.0,217116.76,625180.54,0
1,191550.87,28877.0,0.0,0.0,191550.87,0
1,119411.84,0.0,0.0,2488108.03,2607519.87,0
1,346985.2,1585.0,0.0,0.0,346985.2,0
1,3455.87,12284.0,8828.13,0.0,3455.87,0
1,179843.05,75132.0,0.0,47902.26,298069.84,0
1,95662.57,0.0,0.0,2448137.51,2543800.09,0
1,217842.81,0.0,0.0,2522956.84,2740799.65,0
1,4906.67,31016.0,26109.33,0.0,4906.67,0
1,64603.55,26838.0,0.0,0.0,64603.55,0
1,6191.94,0.0,0.0,4447479.03,4453670.97,0
1,352889.58,10449.0,0.0,5852240.88,6205130.46,0
1,19014.18,11956.0,0.0,0.0,19014.18,0
1,31663.5,21520.0,0.0,0.0,31663.5,0
0,72515.62,0.0,0.0,724762.87,797278.49,0
1,227936.49,291494.13,63557.64,941516.32,1169452.81,0
